match_id,direction,g14,g17,res
2001834,down,shallow,shallow,A
2001843,down,shallow,deep,B
2001856,down,deep,deep,B
2001858,down,deep,shallow,A
2001892,down,deep,shallow,A
2001893,down,deep,shallow,B
2001921,down,deep,shallow,B
2001923,down,deep,deep,P
2001934,down,deep,shallow,B
2001938,down,deep,deep,A
2001942,down,shallow,shallow,A
2001944,down,shallow,deep,A
2001954,down,deep,shallow,B
2001981,down,deep,shallow,B
2002017,down,deep,shallow,A
2002020,down,shallow,deep,A
2002025,down,shallow,shallow,A
2002028,down,deep,shallow,A
2002032,down,deep,deep,A
2002033,down,shallow,shallow,A
2002044,up,shallow,deep,A
2002048,down,shallow,shallow,B
2002059,down,deep,shallow,B
2002065,up,deep,shallow,A
2002072,down,deep,shallow,P
2002084,down,shallow,shallow,B
2002094,down,deep,shallow,B
2002096,down,shallow,shallow,A
2002121,up,deep,deep,A
2002141,down,,deep,B
2002151,up,deep,shallow,A
2002154,down,deep,deep,A
2002157,down,shallow,deep,B
2002160,down,shallow,shallow,B
2002169,down,deep,deep,B
2002190,down,deep,shallow,B
2002193,down,deep,deep,P
2002220,down,deep,shallow,B
2002228,down,deep,deep,A
2002234,down,shallow,shallow,B
2002242,down,shallow,shallow,A
2002254,down,shallow,shallow,B
2002268,down,deep,shallow,A
2002269,down,deep,shallow,A
2002271,down,deep,shallow,B
2002279,down,shallow,shallow,A
2002280,down,deep,shallow,B
2002284,down,deep,deep,B
2002286,down,shallow,deep,B
2002302,down,shallow,deep,B
2002306,down,deep,shallow,B
2002311,down,deep,deep,B
2005461,down,deep,deep,A
2005467,down,shallow,deep,A
2005468,down,deep,deep,A
2005475,down,,deep,P
2005483,down,deep,,B
2005484,down,deep,deep,B
2005501,down,shallow,shallow,A
2005502,down,shallow,deep,B
2005512,down,shallow,deep,A
2005516,down,shallow,deep,A
2005519,down,deep,deep,A
2006208,down,deep,deep,B
2006209,down,shallow,shallow,A
2006220,down,shallow,deep,B
2006221,down,deep,shallow,A
2006227,down,deep,deep,A
2006236,down,deep,deep,B
2006242,down,deep,deep,B
2006249,down,shallow,deep,A
2006252,down,deep,deep,A
2006261,down,,deep,B
2006264,down,deep,deep,B
2006276,down,shallow,shallow,A
2006551,down,deep,deep,P
2007829,down,deep,deep,B
2007845,down,shallow,deep,B
2007877,down,deep,shallow,A
2007879,down,deep,shallow,B
2007906,down,shallow,,B
2007916,down,deep,shallow,B
2007919,down,deep,,P
2007920,down,deep,deep,B
2007943,down,deep,deep,P
2007947,down,shallow,shallow,P
2007948,down,shallow,shallow,B
2007955,down,shallow,deep,B
2007957,down,shallow,shallow,P
2007974,down,deep,shallow,B
2008005,down,shallow,deep,B
2008013,down,deep,deep,B
2008014,down,deep,deep,B
2008017,down,,shallow,B
2008018,down,shallow,shallow,B
2008025,down,deep,shallow,B
2008026,up,deep,shallow,A
2008033,up,shallow,,A
2008040,down,deep,,A
2008041,down,shallow,shallow,A
2008051,down,shallow,deep,B
2008074,up,deep,deep,A
2008097,up,shallow,deep,A
2008100,up,shallow,deep,A
2008105,up,deep,deep,B
2008108,down,deep,deep,B
2008110,down,shallow,deep,B
2008119,down,deep,shallow,B
2008124,down,shallow,deep,A
2008130,down,shallow,deep,B
2008149,down,shallow,deep,A
2008153,down,deep,shallow,B
2008154,down,shallow,shallow,B
2008157,down,deep,shallow,B
2008164,down,shallow,deep,A
2008187,down,,shallow,B
2008189,up,deep,deep,A
2008198,up,deep,deep,A
2008214,down,shallow,shallow,B
2008215,down,deep,deep,A
2008237,down,deep,deep,B
2008245,up,shallow,deep,A
2008251,up,deep,deep,A
2008257,down,deep,deep,A
2008262,down,deep,deep,A
2008274,down,shallow,deep,B
2008280,down,deep,deep,B
